state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2023,Parts per million,No Events,7992,98.0,Y,358,365,0,768,0,0,Certified,0.058042,0.013276,0.103,2023-08-29 14:00,0.099,2023-10-17 14:00,0.095,2023-07-25 12:00,0.094,2023-08-30 13:00,,,,,0.094,0.087,0.083,0.077,0.067,0.056,0.043,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-28
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2023,Parts per million,No Events,8646,97.0,Y,355,365,0,0,1,1,Certified,0.052039,0.010643,0.085,2023-08-29 10:00,0.084,2023-08-30 10:00,0.08,2023-04-22 09:00,0.08,2023-07-25 10:00,,,,,0.08,0.076,0.073,0.068,0.058,0.05,0.04,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-28
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2023,Parts per million,No Events,8646,97.0,Y,355,365,0,0,10,10,Certified,0.052039,0.010643,0.085,2023-08-29 10:00,0.084,2023-08-30 10:00,0.08,2023-04-22 09:00,0.08,2023-07-25 10:00,,,,,0.08,0.076,0.073,0.068,0.058,0.05,0.04,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-28
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2023,Parts per million,No Events,6140,98.0,Y,359,365,0,0,27,27,Certified,0.052047,0.010721,0.085,2023-08-29 10:00,0.084,2023-08-30 10:00,0.08,2023-04-22 09:00,0.08,2023-07-25 10:00,,,,,0.08,0.076,0.073,0.068,0.058,0.05,0.04,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-28
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Multiple Methods Used,2023,Parts per million,No Events,8296,94.0,Y,342,365,0,464,0,0,Certified,0.046532,0.011719,0.089,2023-08-27 13:00,0.088,2023-08-29 13:00,0.088,2023-10-15 16:00,0.081,2023-09-09 12:00,,,,,0.081,0.076,0.068,0.062,0.054,0.045,0.033,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-24
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2023,Parts per million,No Events,8255,93.0,Y,340,365,0,0,0,0,Certified,0.040326,0.009658,0.076,2023-10-15 10:00,0.067,2023-08-27 10:00,0.066,2023-04-21 10:00,0.064,2023-04-22 09:00,,,,,0.064,0.061,0.057,0.052,0.047,0.04,0.028,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-24
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2023,Parts per million,No Events,8255,93.0,Y,340,365,0,0,1,1,Certified,0.040326,0.009658,0.076,2023-10-15 10:00,0.067,2023-08-27 10:00,0.066,2023-04-21 10:00,0.064,2023-04-22 09:00,,,,,0.064,0.061,0.057,0.052,0.047,0.04,0.028,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-24
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2023,Parts per million,No Events,5873,93.0,Y,341,365,0,0,2,2,Certified,0.040534,0.009765,0.076,2023-10-15 10:00,0.074,2023-08-29 10:00,0.067,2023-08-27 10:00,0.066,2023-04-21 10:00,,,,,0.066,0.061,0.057,0.052,0.047,0.04,0.028,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-24
06,089,0007,44201,1,40.452913,-122.298866,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2023,Parts per million,No Events,5813,66.0,N,242,365,0,739,0,0,Certified,0.049905,0.009564,0.087,2023-07-20 13:00,0.073,2023-04-28 17:00,0.071,2023-07-19 11:00,0.07,2023-09-15 13:00,,,,,0.071,0.069,0.065,0.062,0.056,0.049,0.038,Anderson - North Street," 2220 NORTH STREET, ANDERSON, CA 96007",California,Shasta,Anderson,39820,"Redding, CA",2024-05-24
06,089,0007,44201,1,40.452913,-122.298866,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2023,Parts per million,No Events,5838,66.0,N,241,365,0,0,0,0,Certified,0.045353,0.009168,0.075,2023-07-20 09:00,0.069,2023-07-19 10:00,0.064,2023-07-18 11:00,0.064,2023-08-10 11:00,,,,,0.064,0.063,0.059,0.057,0.052,0.046,0.033,Anderson - North Street," 2220 NORTH STREET, ANDERSON, CA 96007",California,Shasta,Anderson,39820,"Redding, CA",2024-05-24
