Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1990,23,MENDOCINO,Industrial,Non-Residential,5.6145
1990,23,MENDOCINO,Mining,Non-Residential,0.3281
1990,23,MENDOCINO,Residential,Residential,5.8459
1990,23,MENDOCINO,TCU,Non-Residential,0.0337
1990,24,MERCED,Ag With Water Pump,Non-Residential,1.4126
1990,24,MERCED,Commercial,Non-Residential,6.7075
1990,24,MERCED,Industrial,Non-Residential,34.3758
1990,24,MERCED,Mining,Non-Residential,0.0726
1990,24,MERCED,Residential,Residential,24.4212
1990,24,MERCED,TCU,Non-Residential,0.2193
1990,27,MONTEREY,Ag With Water Pump,Non-Residential,15.4163
1990,27,MONTEREY,Commercial,Non-Residential,26.2536
1990,27,MONTEREY,Industrial,Non-Residential,37.2483
1990,27,MONTEREY,Mining,Non-Residential,4.2345
1990,27,MONTEREY,Residential,Residential,64.0794
1990,27,MONTEREY,TCU,Non-Residential,1.0464
1990,28,NAPA,Ag With Water Pump,Non-Residential,0.1509
1990,28,NAPA,Commercial,Non-Residential,12.2275
1990,28,NAPA,Industrial,Non-Residential,3.3975
1990,28,NAPA,Mining,Non-Residential,0.0466
1990,28,NAPA,Residential,Residential,22.9977
1990,28,NAPA,TCU,Non-Residential,0.0315
1990,29,NEVADA,Commercial,Non-Residential,2.2066
1990,29,NEVADA,Industrial,Non-Residential,0.1001
1990,29,NEVADA,Mining,Non-Residential,0.0062
1990,29,NEVADA,Residential,Residential,3.8267
1990,29,NEVADA,TCU,Non-Residential,0.0483
1990,30,ORANGE,Ag With Water Pump,Non-Residential,4.2725
1990,30,ORANGE,Commercial,Non-Residential,108.287
1990,30,ORANGE,Industrial,Non-Residential,83.5847
1990,30,ORANGE,Mining,Non-Residential,5.8005
1990,30,ORANGE,Residential,Residential,431.8938
1990,30,ORANGE,TCU,Non-Residential,9.7818
1990,31,PLACER,Ag With Water Pump,Non-Residential,0.3372
1990,31,PLACER,Commercial,Non-Residential,8.4029
1990,31,PLACER,Industrial,Non-Residential,12.6414
1990,31,PLACER,Mining,Non-Residential,0.1304
1990,31,PLACER,Residential,Residential,31.5281
1990,31,PLACER,TCU,Non-Residential,0.1634
1990,33,RIVERSIDE,Ag With Water Pump,Non-Residential,7.3147
1990,33,RIVERSIDE,Commercial,Non-Residential,43.4824
1990,33,RIVERSIDE,Industrial,Non-Residential,78.0272
1990,33,RIVERSIDE,Mining,Non-Residential,1.8501
1990,33,RIVERSIDE,Residential,Residential,207.6993
1990,33,RIVERSIDE,TCU,Non-Residential,0.9392
1990,34,SACRAMENTO,Ag With Water Pump,Non-Residential,1.5841
1990,34,SACRAMENTO,Commercial,Non-Residential,63.5279
1990,34,SACRAMENTO,Industrial,Non-Residential,70.0453
1990,34,SACRAMENTO,Mining,Non-Residential,3.097
1990,34,SACRAMENTO,Residential,Residential,194.4141
1990,34,SACRAMENTO,TCU,Non-Residential,1.9256
1990,35,SAN BENITO,Ag With Water Pump,Non-Residential,0.5499
1990,35,SAN BENITO,Commercial,Non-Residential,1.1994
1990,35,SAN BENITO,Industrial,Non-Residential,9.047
1990,35,SAN BENITO,Mining,Non-Residential,1.1547
1990,35,SAN BENITO,Residential,Residential,5.0169
1990,35,SAN BENITO,TCU,Non-Residential,0.0082
1990,36,SAN BERNARDINO,Ag With Water Pump,Non-Residential,4.6554
1990,36,SAN BERNARDINO,Commercial,Non-Residential,77.1575
1990,36,SAN BERNARDINO,Industrial,Non-Residential,176.1535
1990,36,SAN BERNARDINO,Mining,Non-Residential,0.9654
1990,36,SAN BERNARDINO,Residential,Residential,268.3204
